title_id;title;type;release_year;age_certification;runtime;genres;production_countries;imdb_id;imdb_score;imdb_votes;seasons
tm55553;Blade;MOVIE;1998;R;120;['action', 'scifi', 'horror'];['US'];tt0120611;71;2671810;0
tm56574;You've Got Mail;MOVIE;1998;PG;119;['romance', 'drama', 'comedy'];['US'];tt0128853;67;2092580;0
tm192037;Starship Troopers;MOVIE;1997;R;129;['scifi', 'thriller', 'action'];['US'];tt0120201;73;2889600;0
ts20983;Neon Genesis Evangelion;SHOW;1995;TV-14;24;['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation'];['JP'];tt0112159;85;647270;10
ts22193;The Magic School Bus;SHOW;1994;TV-Y;26;['scifi', 'comedy', 'family', 'fantasy', 'animation'];['US', 'CA'];tt0108847;78;97080;40
tm191989;Donnie Brasco;MOVIE;1997;R;127;['thriller', 'drama', 'crime'];['US'];tt0119008;77;3000730;0
ts20960;Power Rangers;SHOW;1993;TV-Y7;22;['scifi', 'action', 'fantasy', 'family'];['US'];tt0106064;65;219490;290
tm65686;U.S. Marshals;MOVIE;1998;PG-13;126;['thriller', 'crime', 'action'];['US'];tt0120873;65;1032630;0
ts11397;Adventures of Sonic the Hedgehog;SHOW;1993;TV-Y7;22;['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family'];['US'];tt0222518;62;38080;40
tm54903;Wild Things;MOVIE;1998;R;108;['drama', 'thriller', 'crime', 'european'];['US'];tt0194542;66;1188110;0
tm187187;Last Action Hero;MOVIE;1993;PG-13;130;['comedy', 'action', 'fantasy'];['US'];tt0107362;64;1492900;0
tm191772;Seven Years in Tibet;MOVIE;1997;PG-13;136;['drama', 'history', 'war'];['US'];tt0120102;71;1413080;0
tm191848;The Devil's Advocate;MOVIE;1997;Unknown;144;['horror', 'thriller', 'drama'];['DE', 'US'];tt0118971;75;3614220;0
tm121879;A River Runs Through It;MOVIE;1992;PG;123;['drama'];['US'];tt0105265;72;590860;0
tm44402;Girl, Interrupted;MOVIE;1999;R;127;['drama', 'european'];['US', 'DE'];tt0172493;73;1805320;0
ts22489;Goosebumps;SHOW;1995;TV-PG;22;['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music'];['CA', 'US'];tt0111987;76;133610;40
ts25252;Yu-Gi-Oh!;SHOW;1998;TV-Y;22;['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama'];['JP'];tt4834194;72;208880;70
ts21034;InuYasha;SHOW;2000;TV-14;25;['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance'];['JP'];tt0290223;79;158230;90
tm53419;Any Given Sunday;MOVIE;1999;R;162;['drama', 'sport'];['US'];tt0146838;69;1184790;0
tm189764;Menace II Society;MOVIE;1993;R;97;['drama', 'crime', 'thriller'];['US'];tt0107554;75;573990;0
